update,timeToCoalescence,ID,alive,countCopy,countDelete,countIndel,countPoint,countPointOffset,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_LIST,optimizeValue_0,score_AVE,score_LIST,scoreCompassSensor_AVE,scoreCompassSensor_LIST,scoreCurrentlyOnHotspot_AVE,scoreCurrentlyOnHotspot_LIST,scoreDistFromGoal_AVE,scoreDistFromGoal_LIST,scoreGoal_AVE,scoreGoal_LIST,scoreHotspotPrediction_AVE,scoreHotspotPrediction_LIST,scoreHotspotSensor_AVE,scoreHotspotSensor_LIST,scoreMovesLeft_AVE,scoreMovesLeft_LIST,scoreMovesLeftGoal_AVE,scoreMovesLeftGoal_LIST,scoreWallSensor_AVE,scoreWallSensor_LIST,timeOfBirth
0,0,40,1,0,0,0,0,0,5000,6,6,"0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,2,0,1,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0",3.016667,3.016667,"3.016667",0.550000,"0.550000",1.000000,"1.000000",-1.000000,"-1.000000",0.000000,"0.000000",0.500000,"0.500000",1.000000,"1.000000",0.000000,"0.000000",0.000000,"0.000000",0.966667,"0.966667",-1
100,0,10030,1,20,13,0,3486,0,8561,4,4,"0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1,0","1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0",3.389353,3.389353,"3.389353",0.611990,"0.611990",0.702437,"0.702437",-0.473750,"-0.473750",0.150000,"0.150000",0.507589,"0.507589",0.734408,"0.734408",0.052042,"0.052042",0.346947,"0.346947",0.826456,"0.826456",99
200,0,20062,1,55,25,0,9757,0,17431,5,5,"0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,1,0,0,0,0,0,0","1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0",3.348239,3.348239,"3.348239",0.801556,"0.801556",0.787913,"0.787913",-0.596250,"-0.596250",0.100000,"0.100000",0.507667,"0.507667",0.758455,"0.758455",0.036923,"0.036923",0.369231,"0.369231",0.764286,"0.764286",199
300,0,30061,1,85,45,0,19315,0,19630,4,4,"0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0",3.415936,3.415936,"3.415936",0.817337,"0.817337",0.856655,"0.856655",-0.601250,"-0.601250",0.100000,"0.100000",0.508568,"0.508568",0.754165,"0.754165",0.033846,"0.033846",0.338462,"0.338462",0.761911,"0.761911",299
400,0,40057,1,112,69,0,29215,0,19869,5,5,"0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0",3.452390,3.452390,"3.452390",0.835620,"0.835620",0.771210,"0.771210",-0.413750,"-0.413750",0.050000,"0.050000",0.508551,"0.508551",0.797800,"0.797800",0.017692,"0.017692",0.353846,"0.353846",0.792147,"0.792147",399
500,0,50050,1,143,106,0,38974,0,17754,5,5,"0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,3,0,0,0,0,0,0,0","1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0",3.586030,3.586030,"3.586030",0.835114,"0.835114",0.745923,"0.745923",-0.477500,"-0.477500",0.100000,"0.100000",0.561325,"0.561325",0.800924,"0.800924",0.026742,"0.026742",0.267424,"0.267424",0.810626,"0.810626",499
600,0,60013,1,184,144,0,48012,0,17643,5,5,"0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0","1,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0",3.438883,3.438883,"3.438883",0.792797,"0.792797",0.772318,"0.772318",-0.657500,"-0.657500",0.100000,"0.100000",0.676151,"0.676151",0.776387,"0.776387",0.028333,"0.028333",0.283333,"0.283333",0.754448,"0.754448",599
700,0,70071,1,212,179,0,56416,0,15322,6,6,"0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,0,0,0,0,0,0","2,0,0,0,0,2,2,0,0,0,3,0,2,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0",5.915657,5.915657,"5.915657",0.804746,"0.804746",0.709136,"0.709136",-0.126250,"-0.126250",0.700000,"0.700000",0.712793,"0.712793",0.762319,"0.762319",0.132023,"0.132023",0.188604,"0.188604",0.889913,"0.889913",699
800,0,80090,1,248,210,0,64905,0,16253,9,9,"0,1,0,0,0,2,0,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,3,0,0,0,0,0,0","4,0,0,0,0,2,4,0,0,0,4,0,2,0,1,3,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0",6.470870,6.470870,"6.470870",0.825969,"0.825969",0.726345,"0.726345",-0.062500,"-0.062500",0.800000,"0.800000",0.752759,"0.752759",0.749746,"0.749746",0.173255,"0.173255",0.216568,"0.216568",0.929834,"0.929834",799
900,0,90014,1,292,244,0,73992,0,18636,7,7,"0,0,0,0,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0","1,0,0,1,0,2,1,0,0,0,4,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0",6.161648,6.161648,"6.161648",0.837424,"0.837424",0.707783,"0.707783",-0.046250,"-0.046250",0.700000,"0.700000",0.752370,"0.752370",0.746980,"0.746980",0.155143,"0.155143",0.221633,"0.221633",0.926396,"0.926396",899
1000,0,100045,1,322,279,0,82553,0,17935,7,7,"1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,2,0,0,0,0,0","1,0,1,1,0,1,1,0,0,0,4,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0",6.703327,6.703327,"6.703327",0.848725,"0.848725",0.726619,"0.726619",-0.081250,"-0.081250",0.850000,"0.850000",0.752894,"0.752894",0.739650,"0.739650",0.228189,"0.228189",0.268457,"0.268457",0.920352,"0.920352",999
1100,0,110038,1,355,312,0,90934,0,16502,8,8,"2,0,0,1,1,1,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,0,1,1,0,0,0,0,0","1,0,1,1,0,1,1,0,0,0,5,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,2,0,2,1,0,1,0,0",6.979043,6.979043,"6.979043",0.862088,"0.862088",0.705577,"0.705577",-0.006250,"-0.006250",0.950000,"0.950000",0.752030,"0.752030",0.740478,"0.740478",0.183973,"0.183973",0.193655,"0.193655",0.942746,"0.942746",1099
1200,0,120038,1,393,343,0,100506,0,19060,8,8,"0,0,0,1,1,0,0,1,2,0,0,2,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,1,0,1,1,0,0","1,0,2,1,0,1,1,0,0,0,4,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2,0,1,0,1,0,2,0,0,2,0,1",6.552162,6.552162,"6.552162",0.902031,"0.902031",0.728500,"0.728500",-0.056250,"-0.056250",0.850000,"0.850000",0.751999,"0.751999",0.759846,"0.759846",0.108158,"0.108158",0.127245,"0.127245",0.910521,"0.910521",1199
1300,0,130091,1,417,380,0,108925,0,14812,8,8,"0,0,0,1,1,0,0,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,2,1,1,1,0,0","2,0,1,1,0,1,2,0,0,0,4,1,1,0,0,0,0,1,1,2,0,0,1,0,1,1,0,1,0,1,0,4,0,0,0,0,0",6.429356,6.429356,"6.429356",0.836387,"0.836387",0.712791,"0.712791",-0.135000,"-0.135000",0.800000,"0.800000",0.751681,"0.751681",0.761477,"0.761477",0.199931,"0.199931",0.249913,"0.249913",0.900814,"0.900814",1299
1400,0,140088,1,446,405,0,116777,0,16584,10,10,"0,0,0,0,0,0,1,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,0,1,3,2,0,0,2,0,0","3,0,1,1,0,1,2,0,0,0,5,0,1,1,1,0,0,1,3,2,0,0,1,1,1,1,0,1,0,4,0,5,0,0,0,0,0",6.436918,6.436918,"6.436918",0.908669,"0.908669",0.744072,"0.744072",-0.090000,"-0.090000",0.800000,"0.800000",0.751969,"0.751969",0.758962,"0.758962",0.130513,"0.130513",0.163141,"0.163141",0.900645,"0.900645",1399
1500,0,150016,1,479,438,0,126062,0,16325,10,10,"0,1,0,2,0,2,1,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2,3,2,1,0,0,1,2,0,0,4,0,0","2,0,1,1,1,1,1,0,0,0,7,0,1,1,4,0,0,3,1,1,0,0,0,1,0,2,0,1,0,3,0,3,0,1,0,0,0",6.069618,6.069618,"6.069618",0.856920,"0.856920",0.745045,"0.745045",-0.071250,"-0.071250",0.650000,"0.650000",0.752475,"0.752475",0.744269,"0.744269",0.162705,"0.162705",0.250316,"0.250316",0.927639,"0.927639",1499
1600,0,160027,1,511,462,0,135629,0,20091,11,11,"0,1,0,1,0,3,3,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,1,2,2,2,1,0,0,2,2,0,0,3,0,1","2,0,1,3,1,1,1,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,1,1,1,3,0,3,0,3,0,3,0,1,0,0,0",6.376334,6.376334,"6.376334",0.864921,"0.864921",0.709620,"0.709620",-0.058750,"-0.058750",0.750000,"0.750000",0.752518,"0.752518",0.744149,"0.744149",0.176616,"0.176616",0.235488,"0.235488",0.946255,"0.946255",1599
1700,0,170080,1,538,490,0,145384,0,20315,12,12,"1,2,0,0,0,2,2,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,3,2,2,2,2,0,0,2,1,0,0,4,0,0","1,0,1,2,1,2,1,0,1,0,7,0,0,0,2,0,0,0,0,0,2,0,1,1,0,2,0,4,0,3,2,2,0,0,2,0,0",6.399778,6.399778,"6.399778",0.881961,"0.881961",0.721919,"0.721919",-0.050000,"-0.050000",0.750000,"0.750000",0.752627,"0.752627",0.745254,"0.745254",0.170439,"0.170439",0.227252,"0.227252",0.942668,"0.942668",1699
1800,0,180048,1,567,528,0,154786,0,19283,10,10,"1,1,1,0,0,1,1,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,3,0,2,1,1,0,0,1,0,1","1,0,1,1,1,3,1,0,1,0,5,0,0,1,1,1,0,0,0,0,2,0,2,1,0,0,1,1,0,3,0,2,0,1,0,0,0",6.519380,6.519380,"6.519380",0.860748,"0.860748",0.744222,"0.744222",-0.107500,"-0.107500",0.800000,"0.800000",0.753045,"0.753045",0.732188,"0.732188",0.205764,"0.205764",0.257205,"0.257205",0.922713,"0.922713",1799
1900,0,190051,1,594,562,0,164395,0,18597,10,10,"1,0,0,0,0,1,2,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,3,1,1,3,1,0,2,0,2,1,0,1,0,1","2,0,1,1,1,2,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,1,0,2,1,2,0,1,0,1,0",6.549156,6.549156,"6.549156",0.900951,"0.900951",0.734796,"0.734796",-0.100000,"-0.100000",0.800000,"0.800000",0.752052,"0.752052",0.754815,"0.754815",0.187060,"0.187060",0.233825,"0.233825",0.930781,"0.930781",1899
2000,0,200007,1,629,597,0,173951,0,19465,10,10,"1,0,0,0,0,1,3,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,2,1,1,2,1,0,1,0,1,1,0,1,0,1","1,0,1,1,1,3,1,1,1,0,5,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,1,1,0,1,1,2,0,1,0,1,0",6.909582,6.909582,"6.909582",0.877823,"0.877823",0.701844,"0.701844",-0.042500,"-0.042500",0.900000,"0.900000",0.751763,"0.751763",0.747538,"0.747538",0.225832,"0.225832",0.250924,"0.250924",0.944864,"0.944864",1999
2100,0,210055,1,660,632,0,183388,0,18202,11,11,"4,0,0,0,0,1,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,2,1,1,5,1,0,1,0,1,4,0,1,0,2","1,0,1,1,1,2,3,0,3,0,4,0,0,2,0,1,0,0,0,1,0,1,3,2,0,0,2,1,1,0,0,0,0,3,0,0,0",6.495309,6.495309,"6.495309",0.814769,"0.814769",0.718753,"0.718753",-0.005000,"-0.005000",0.800000,"0.800000",0.747487,"0.747487",0.747014,"0.747014",0.166378,"0.166378",0.207973,"0.207973",0.941540,"0.941540",2099
2200,0,220055,1,687,661,0,192830,0,18665,11,11,"1,0,0,0,0,2,0,0,1,1,1,1,2,0,0,1,1,0,0,0,0,0,2,2,1,1,2,2,1,2,0,1,1,0,0,0,3","1,0,1,1,1,2,1,0,1,0,5,0,0,2,0,1,0,0,0,0,1,3,1,1,1,0,2,1,1,1,0,0,0,1,1,0,1",6.763099,6.763099,"6.763099",0.844222,"0.844222",0.720622,"0.720622",-0.027500,"-0.027500",0.850000,"0.850000",0.752244,"0.752244",0.735220,"0.735220",0.212056,"0.212056",0.249478,"0.249478",0.974771,"0.974771",2199
2300,0,230014,1,718,688,0,202066,0,19317,8,8,"0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,2,1,1,2,1,1,0,0,1,2,0,0,0,3","1,0,1,1,1,2,1,0,1,0,3,0,1,0,0,1,0,0,0,1,0,2,2,0,1,0,1,1,1,0,0,0,0,1,0,0,1",6.630047,6.630047,"6.630047",0.831602,"0.831602",0.709332,"0.709332",-0.088750,"-0.088750",0.850000,"0.850000",0.752078,"0.752078",0.751689,"0.751689",0.187612,"0.187612",0.220720,"0.220720",0.959607,"0.959607",2299
2400,0,240022,1,749,716,0,211671,0,20151,10,10,"0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,1,1,1,1,3,1,1,2,2,1,3,0,0,0,6","1,0,1,1,1,3,2,0,2,0,3,0,4,2,1,1,0,0,0,0,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,2",6.849847,6.849847,"6.849847",0.853211,"0.853211",0.722216,"0.722216",-0.030000,"-0.030000",0.850000,"0.850000",0.751678,"0.751678",0.734549,"0.734549",0.251462,"0.251462",0.295837,"0.295837",0.976344,"0.976344",2399
2500,0,250004,1,777,747,0,221196,0,19857,7,7,"0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,2,2,0,1,0,1,2,0,0,0,3","1,0,1,1,1,2,1,0,1,0,2,0,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1",6.881262,6.881262,"6.881262",0.844230,"0.844230",0.680907,"0.680907",-0.048750,"-0.048750",0.900000,"0.900000",0.751884,"0.751884",0.739196,"0.739196",0.235106,"0.235106",0.261229,"0.261229",0.966888,"0.966888",2499
2600,0,260010,1,808,784,0,230742,0,18240,7,7,"0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,2,2,0,1,0,1,1,0,0,0,2","1,0,1,1,1,2,1,0,0,0,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1",6.447290,6.447290,"6.447290",0.902550,"0.902550",0.703475,"0.703475",-0.081250,"-0.081250",0.750000,"0.750000",0.753360,"0.753360",0.761651,"0.761651",0.189743,"0.189743",0.252991,"0.252991",0.962997,"0.962997",2599
2700,0,270013,1,839,812,0,240062,0,18987,9,9,"1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,2,1,1,1,3,2,0,1,0,1,2,0,0,0,3","3,0,1,1,2,2,2,0,0,0,3,0,0,2,0,3,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1",6.956274,6.956274,"6.956274",0.880062,"0.880062",0.722671,"0.722671",-0.013750,"-0.013750",0.900000,"0.900000",0.751857,"0.751857",0.744886,"0.744886",0.207356,"0.207356",0.230396,"0.230396",0.979164,"0.979164",2699
2800,0,280087,1,870,844,0,249849,0,19545,8,8,"0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,2,1,0,1,0,2,5,0,0,0,1","3,0,1,1,1,3,1,0,0,0,2,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0",6.401682,6.401682,"6.401682",0.878099,"0.878099",0.722147,"0.722147",-0.092500,"-0.092500",0.750000,"0.750000",0.752664,"0.752664",0.748591,"0.748591",0.164092,"0.164092",0.218789,"0.218789",1.000000,"1.000000",2799
2900,0,290047,1,903,881,0,259518,0,18456,8,8,"0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,2,2,2,2,1,0,2,0,1,2,0,0,0,1","2,0,1,1,1,2,1,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0",7.166400,7.166400,"7.166400",0.906122,"0.906122",0.727366,"0.727366",-0.001250,"-0.001250",0.950000,"0.950000",0.752433,"0.752433",0.751605,"0.751605",0.207656,"0.207656",0.218585,"0.218585",1.000000,"1.000000",2899
3000,0,300089,1,938,915,0,268802,0,19273,7,7,"0,0,1,0,1,2,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,2,1,0,0,0,1,1,0,0,0,1","2,0,1,1,1,2,1,0,0,0,2,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0",6.341391,6.341391,"6.341391",0.878426,"0.878426",0.686615,"0.686615",-0.140000,"-0.140000",0.750000,"0.750000",0.752149,"0.752149",0.755646,"0.755646",0.172222,"0.172222",0.229629,"0.229629",1.000000,"1.000000",2999
3100,0,310003,1,978,951,0,278630,0,20151,8,8,"0,0,1,3,0,0,2,0,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0","3,0,1,1,1,3,1,0,1,0,2,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0",7.004932,7.004932,"7.004932",0.900088,"0.900088",0.729281,"0.729281",-0.012500,"-0.012500",0.900000,"0.900000",0.751905,"0.751905",0.730125,"0.730125",0.214660,"0.214660",0.238511,"0.238511",1.000000,"1.000000",3099
3200,0,320042,1,1006,978,0,288182,0,20036,7,7,"1,0,1,2,0,1,1,0,0,0,1,1,1,0,1,2,1,1,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0","2,0,1,1,1,2,1,0,1,0,2,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0",7.262873,7.262873,"7.262873",0.898635,"0.898635",0.722114,"0.722114",0.000000,"0.000000",1.000000,"1.000000",0.751833,"0.751833",0.748422,"0.748422",0.195017,"0.195017",0.195017,"0.195017",1.000000,"1.000000",3199
3300,0,330020,1,1030,1005,0,297673,0,17498,7,7,"1,0,1,3,0,0,1,0,0,0,1,1,1,0,1,2,1,1,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0","2,0,1,1,1,2,1,0,1,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0",7.312435,7.312435,"7.312435",0.912376,"0.912376",0.711549,"0.711549",0.000000,"0.000000",1.000000,"1.000000",0.752930,"0.752930",0.744434,"0.744434",0.219108,"0.219108",0.219108,"0.219108",1.000000,"1.000000",3299
3400,0,340099,1,1063,1036,0,307258,0,19063,12,12,"2,0,2,4,1,0,0,0,0,0,0,2,4,0,4,2,1,1,0,1,0,0,1,2,2,2,2,1,0,1,0,0,0,0,0,1,4","2,0,1,4,1,2,1,0,1,0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,2,4,0,5,2,0,0,0,0,0,0,2,0",7.026557,7.026557,"7.026557",0.885178,"0.885178",0.738053,"0.738053",-0.016250,"-0.016250",0.900000,"0.900000",0.751425,"0.751425",0.747986,"0.747986",0.221941,"0.221941",0.246602,"0.246602",1.000000,"1.000000",3399
3500,0,350099,1,1094,1074,0,316041,0,16175,8,8,"3,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,2,1,1,1,3,1,0,0,0,0,0,0,1,2,1","3,0,1,1,1,3,1,0,1,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,2,0",6.364227,6.364227,"6.364227",0.884959,"0.884959",0.686725,"0.686725",-0.072500,"-0.072500",0.750000,"0.750000",0.752256,"0.752256",0.759175,"0.759175",0.144710,"0.144710",0.192947,"0.192947",1.000000,"1.000000",3499
3600,0,360054,1,1121,1097,0,324104,0,16485,7,7,"2,0,0,0,0,0,0,0,1,1,0,1,2,0,1,1,1,1,0,0,0,0,2,1,1,1,2,1,0,0,0,0,0,0,1,2,1","2,0,1,1,1,2,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,2,1,0,0,0,0,1,0,0,0",7.331471,7.331471,"7.331471",0.898151,"0.898151",0.724239,"0.724239",0.000000,"0.000000",1.000000,"1.000000",0.752585,"0.752585",0.744318,"0.744318",0.229796,"0.229796",0.229796,"0.229796",1.000000,"1.000000",3599
3700,0,370034,1,1139,1129,0,330485,0,11739,8,8,"1,0,0,0,0,1,0,0,1,0,0,1,3,0,1,1,1,1,2,0,0,0,3,1,1,1,2,2,0,1,1,1,0,0,1,1,1","2,0,1,1,1,2,1,0,1,0,3,0,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0",5.465100,5.465100,"5.465100",0.866904,"0.866904",0.697958,"0.697958",-0.251250,"-0.251250",0.500000,"0.500000",0.752260,"0.752260",0.786586,"0.786586",0.118256,"0.118256",0.236512,"0.236512",1.000000,"1.000000",3699
3800,0,380062,1,1167,1149,0,336746,0,13887,7,7,"0,0,0,0,1,0,0,0,1,1,2,1,1,0,1,1,1,1,0,0,0,0,2,1,1,1,2,1,0,0,0,1,1,0,1,1,1","2,0,1,1,1,2,1,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",6.985594,6.985594,"6.985594",0.900740,"0.900740",0.717634,"0.717634",-0.065000,"-0.065000",0.900000,"0.900000",0.752627,"0.752627",0.759386,"0.759386",0.221422,"0.221422",0.246024,"0.246024",1.000000,"1.000000",3799
3900,0,390064,1,1191,1177,0,343458,0,12116,7,7,"1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,2,2,2,0,0,0,2,1,0,0,1,1","2,0,1,1,1,2,1,0,0,0,2,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",7.358166,7.358166,"7.358166",0.889425,"0.889425",0.707075,"0.707075",0.000000,"0.000000",1.000000,"1.000000",0.752178,"0.752178",0.740907,"0.740907",0.258201,"0.258201",0.258201,"0.258201",1.000000,"1.000000",3899
4000,0,400081,1,1216,1198,0,349942,0,13112,9,9,"1,0,0,0,1,0,0,0,2,0,0,1,1,0,2,1,1,1,0,0,0,0,1,2,2,3,2,3,0,0,0,1,1,0,1,2,0","2,0,1,1,1,3,1,0,0,0,3,0,2,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1",6.706456,6.706456,"6.706456",0.899214,"0.899214",0.716650,"0.716650",-0.057500,"-0.057500",0.850000,"0.850000",0.751837,"0.751837",0.742214,"0.742214",0.157489,"0.157489",0.185281,"0.185281",1.000000,"1.000000",3999
4100,0,410076,1,1240,1218,0,356614,0,13916,10,10,"3,0,0,0,3,0,0,0,1,0,0,1,2,0,2,1,1,3,0,0,0,0,1,1,1,1,4,4,1,0,0,2,1,0,2,2,0","4,0,1,3,1,2,3,0,0,0,2,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0",7.182275,7.182275,"7.182275",0.906361,"0.906361",0.701986,"0.701986",-0.003750,"-0.003750",0.950000,"0.950000",0.752357,"0.752357",0.751153,"0.751153",0.229714,"0.229714",0.241804,"0.241804",1.000000,"1.000000",4099
4200,0,420044,1,1269,1249,0,363718,0,14124,10,10,"1,0,0,1,2,1,0,1,1,0,1,1,1,0,1,1,1,3,0,0,0,0,1,1,1,1,1,4,1,0,0,1,2,0,1,2,0","5,0,1,1,1,3,3,0,0,0,2,1,1,0,3,0,1,0,0,0,1,0,0,0,3,0,0,4,0,1,0,0,0,0,1,0,0",7.401732,7.401732,"7.401732",0.900342,"0.900342",0.710413,"0.710413",0.000000,"0.000000",1.000000,"1.000000",0.752307,"0.752307",0.744897,"0.744897",0.270733,"0.270733",0.270733,"0.270733",1.000000,"1.000000",4199
4300,0,430067,1,1291,1276,0,370426,0,11615,7,7,"0,0,0,0,2,0,0,1,0,0,2,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,2,1,0,0,1,1,1,0,1,0","1,0,1,1,1,2,1,0,0,0,2,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0",6.416785,6.416785,"6.416785",0.891809,"0.891809",0.664920,"0.664920",-0.192500,"-0.192500",0.750000,"0.750000",0.752576,"0.752576",0.772502,"0.772502",0.231523,"0.231523",0.308697,"0.308697",1.000000,"1.000000",4299
4400,0,440007,1,1304,1292,0,375952,0,10334,11,11,"1,0,0,0,2,0,1,0,0,0,2,1,2,0,2,1,3,4,0,0,0,0,2,1,1,1,1,3,3,0,0,1,1,2,1,1,0","1,0,1,2,1,3,1,0,0,0,3,1,1,0,2,0,2,0,0,1,0,2,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1",7.410758,7.410758,"7.410758",0.921864,"0.921864",0.711258,"0.711258",0.000000,"0.000000",1.000000,"1.000000",0.751856,"0.751856",0.742832,"0.742832",0.265546,"0.265546",0.265546,"0.265546",1.000000,"1.000000",4399
