update,timeToCoalescence,ID,alive,countCopy,countDelete,countIndel,countPoint,countPointOffset,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_LIST,optimizeValue_0,score_AVE,score_LIST,scoreCompassSensor_AVE,scoreCompassSensor_LIST,scoreCurrentlyOnHotspot_AVE,scoreCurrentlyOnHotspot_LIST,scoreDistFromGoal_AVE,scoreDistFromGoal_LIST,scoreGoal_AVE,scoreGoal_LIST,scoreHotspotPrediction_AVE,scoreHotspotPrediction_LIST,scoreHotspotSensor_AVE,scoreHotspotSensor_LIST,scoreMovesLeft_AVE,scoreMovesLeft_LIST,scoreMovesLeftGoal_AVE,scoreMovesLeftGoal_LIST,scoreWallSensor_AVE,scoreWallSensor_LIST,timeOfBirth
37400,0,3740004,1,11142,11341,0,3388038,0,18031,17,17,"4,0,1,0,0,0,0,0,1,3,1,2,1,1,2,1,2,2,3,4,2,1,1,1,1,1,1,1,1,1,2,1,0,2,1,1,0","1,1,1,1,1,2,2,2,4,1,2,0,0,1,2,2,1,1,1,0,3,0,2,0,3,0,2,1,2,0,1,0,0,2,1,4,2",7.114255,7.114255,"7.114255",1.000000,"1.000000",0.709144,"0.709144",-0.046250,"-0.046250",0.800000,"0.800000",0.752028,"0.752028",1.000000,"1.000000",0.248855,"0.248855",0.311069,"0.311069",1.000000,"1.000000",37399
37500,0,3750032,1,11175,11373,0,3397673,0,19591,16,16,"0,0,1,1,1,0,0,0,1,3,0,2,2,1,1,1,1,2,3,5,1,0,1,1,1,1,1,2,1,0,3,1,0,1,1,1,0","1,1,1,2,1,2,2,1,4,1,2,1,0,0,3,1,1,1,1,0,2,0,2,0,3,1,1,2,2,0,0,0,0,1,1,3,2",7.721181,7.721181,"7.721181",1.000000,"1.000000",0.702305,"0.702305",0.000000,"0.000000",1.000000,"1.000000",0.752361,"0.752361",1.000000,"1.000000",0.257077,"0.257077",0.257077,"0.257077",1.000000,"1.000000",37499
37600,0,3760063,1,11205,11404,0,3407228,0,18963,16,16,"0,0,0,1,2,0,3,0,2,2,2,1,4,1,1,2,2,2,1,1,1,0,1,1,1,1,1,3,1,0,3,1,1,2,2,2,0","1,2,1,1,2,3,3,1,2,1,2,2,0,1,2,1,0,1,0,0,2,2,4,1,1,1,0,1,3,0,0,0,0,1,2,1,3",7.582377,7.582377,"7.582377",1.000000,"1.000000",0.707362,"0.707362",-0.003750,"-0.003750",0.950000,"0.950000",0.752164,"0.752164",1.000000,"1.000000",0.256023,"0.256023",0.269498,"0.269498",1.000000,"1.000000",37599
37700,0,3770045,1,11230,11442,0,3415288,0,16718,18,18,"0,2,3,1,1,0,2,0,1,2,0,1,3,3,2,1,1,1,1,1,1,0,1,1,1,1,1,3,2,0,3,2,0,1,1,3,0","1,2,1,2,1,2,3,1,6,1,2,1,3,0,1,1,0,0,0,0,1,2,6,1,0,5,1,1,2,0,0,0,0,2,0,2,3",6.966331,6.966331,"6.966331",1.000000,"1.000000",0.710228,"0.710228",-0.061250,"-0.061250",0.800000,"0.800000",0.752434,"0.752434",1.000000,"1.000000",0.181486,"0.181486",0.226858,"0.226858",1.000000,"1.000000",37699
37800,0,3780092,1,11258,11468,0,3424066,0,17627,17,17,"0,1,0,0,1,0,2,0,0,1,1,1,2,1,1,1,2,2,1,1,1,0,2,1,1,1,1,2,1,1,1,1,4,1,2,4,1","2,1,1,1,1,2,4,1,3,1,3,2,1,0,1,0,1,0,1,0,1,4,3,2,0,4,1,1,2,0,0,3,0,1,0,0,2",7.401692,7.401692,"7.401692",1.000000,"1.000000",0.702591,"0.702591",-0.038750,"-0.038750",0.900000,"0.900000",0.751881,"0.751881",1.000000,"1.000000",0.254639,"0.254639",0.282932,"0.282932",1.000000,"1.000000",37799
37900,0,3790068,1,11283,11494,0,3433383,0,19356,19,19,"0,2,0,0,2,4,2,1,0,1,1,1,1,1,3,3,1,1,1,2,1,0,1,1,1,1,1,3,1,1,1,4,2,0,2,4,1","2,1,1,3,2,3,1,1,1,1,6,3,0,1,1,0,1,1,1,0,1,1,3,1,0,4,3,4,1,1,2,0,1,2,0,1,2",7.266581,7.266581,"7.266581",1.000000,"1.000000",0.737840,"0.737840",-0.066250,"-0.066250",0.900000,"0.900000",0.751695,"0.751695",1.000000,"1.000000",0.183385,"0.183385",0.203761,"0.203761",1.000000,"1.000000",37899
38000,0,3800018,1,11312,11522,0,3443179,0,20303,16,16,"0,3,2,0,2,1,1,0,0,1,0,2,1,1,3,1,2,1,1,4,2,3,1,1,1,1,1,2,1,2,1,0,1,0,1,2,0","1,2,1,4,1,3,1,1,1,1,2,0,1,0,2,2,2,1,1,1,0,1,3,0,0,4,2,1,0,0,1,0,0,1,0,2,2",7.386826,7.386826,"7.386826",1.000000,"1.000000",0.708306,"0.708306",-0.063750,"-0.063750",0.900000,"0.900000",0.752066,"0.752066",1.000000,"1.000000",0.256672,"0.256672",0.285191,"0.285191",1.000000,"1.000000",37999
38100,0,3810043,1,11341,11559,0,3452689,0,17878,11,11,"0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,2,1,0,1,0,1,1,1,3,1","1,1,1,1,1,2,1,1,1,1,2,0,1,0,1,1,0,2,1,1,1,0,2,0,1,2,0,0,0,1,0,0,1,1,0,2,1",7.387004,7.387004,"7.387004",1.000000,"1.000000",0.713786,"0.713786",-0.010000,"-0.010000",0.900000,"0.900000",0.752122,"0.752122",1.000000,"1.000000",0.227093,"0.227093",0.252326,"0.252326",1.000000,"1.000000",38099
38200,0,3820042,1,11375,11588,0,3462194,0,19265,13,13,"2,1,1,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,2,2,1,1,1,0,1,1,1,3,1","2,1,1,1,1,3,1,1,2,1,2,0,2,0,0,1,0,2,1,2,1,0,2,0,1,3,0,0,2,0,0,0,1,3,0,2,1",7.578779,7.578779,"7.578779",1.000000,"1.000000",0.704663,"0.704663",-0.001250,"-0.001250",0.950000,"0.950000",0.751972,"0.751972",1.000000,"1.000000",0.254510,"0.254510",0.267906,"0.267906",1.000000,"1.000000",38199
38300,0,3830010,1,11403,11617,0,3471772,0,19408,16,16,"1,1,2,2,3,1,0,0,0,1,0,1,1,2,1,1,1,2,1,2,1,0,1,1,1,1,1,2,1,2,3,0,2,2,0,2,0","1,2,2,1,1,2,2,1,1,1,3,0,3,2,0,1,0,3,2,1,1,0,2,0,2,1,0,0,2,2,0,0,3,1,0,1,0",6.430311,6.430311,"6.430311",1.000000,"1.000000",0.728671,"0.728671",-0.093750,"-0.093750",0.650000,"0.650000",0.752966,"0.752966",1.000000,"1.000000",0.126498,"0.126498",0.194612,"0.194612",1.000000,"1.000000",38299
38400,0,3840021,1,11428,11644,0,3481637,0,19434,14,14,"1,1,1,2,2,1,0,0,0,1,0,1,2,3,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,2,2,0,2,0,1,2,0","1,3,4,1,1,2,2,1,1,1,2,0,2,2,1,0,1,1,0,1,1,0,2,0,1,1,0,0,1,1,1,0,1,1,0,1,0",7.852492,7.852492,"7.852492",1.000000,"1.000000",0.713417,"0.713417",0.000000,"0.000000",1.000000,"1.000000",0.752120,"0.752120",1.000000,"1.000000",0.317418,"0.317418",0.317418,"0.317418",1.000000,"1.000000",38399
38500,0,3850068,1,11449,11669,0,3490406,0,17906,15,15,"0,0,1,2,1,1,0,0,1,0,2,1,1,1,1,2,2,2,1,1,1,0,1,1,1,1,1,2,1,3,4,0,1,0,1,0,1","1,1,2,1,1,3,3,2,1,1,2,0,3,2,2,0,1,0,2,1,1,0,3,0,0,1,2,1,1,0,0,0,0,1,0,1,0",7.446515,7.446515,"7.446515",1.000000,"1.000000",0.709375,"0.709375",-0.022500,"-0.022500",0.950000,"0.950000",0.752852,"0.752852",1.000000,"1.000000",0.195789,"0.195789",0.206094,"0.206094",1.000000,"1.000000",38499
38600,0,3860084,1,11474,11692,0,3499890,0,18161,16,16,"1,0,1,5,0,3,0,0,3,0,2,2,2,2,1,2,1,1,1,1,2,0,2,2,1,1,2,2,2,2,2,0,0,0,0,1,1","2,2,2,1,2,3,3,1,1,2,3,1,1,0,0,0,0,0,0,3,1,0,5,0,0,0,1,0,1,0,0,0,1,1,1,3,0",6.229104,6.229104,"6.229104",1.000000,"1.000000",0.754416,"0.754416",-0.097500,"-0.097500",0.550000,"0.550000",0.752597,"0.752597",1.000000,"1.000000",0.152831,"0.152831",0.277875,"0.277875",1.000000,"1.000000",38599
38700,0,3870082,1,11507,11736,0,3508195,0,15909,15,15,"2,1,1,2,0,2,0,2,5,0,1,2,1,1,2,2,2,2,1,1,1,0,1,1,1,1,2,1,2,4,1,0,1,0,0,1,2","2,1,1,2,4,3,3,1,1,1,2,2,3,0,0,1,0,0,0,1,3,0,3,0,3,0,1,0,0,0,1,0,2,0,1,3,0",7.475207,7.475207,"7.475207",1.000000,"1.000000",0.724886,"0.724886",-0.047500,"-0.047500",0.950000,"0.950000",0.751757,"0.751757",1.000000,"1.000000",0.215947,"0.215947",0.227313,"0.227313",1.000000,"1.000000",38699
38800,0,3880014,1,11531,11767,0,3515365,0,14018,13,13,"3,1,0,1,0,1,0,1,2,0,1,1,1,3,1,3,2,2,1,1,1,0,1,1,1,1,1,1,1,5,1,0,0,0,0,1,0","1,1,1,1,2,2,1,1,1,1,3,3,4,0,0,1,1,0,1,1,0,0,2,0,2,0,0,0,1,0,1,1,1,0,2,5,0",6.858034,6.858034,"6.858034",1.000000,"1.000000",0.728559,"0.728559",-0.136250,"-0.136250",0.750000,"0.750000",0.752428,"0.752428",1.000000,"1.000000",0.224488,"0.224488",0.299317,"0.299317",1.000000,"1.000000",38799
38900,0,3890062,1,11554,11793,0,3522861,0,13635,15,15,"5,1,0,0,0,1,0,0,0,0,0,1,1,4,2,5,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,6,2,1,2,0","1,1,1,2,4,2,1,1,1,1,2,2,3,0,0,1,3,0,1,1,0,0,1,0,2,3,1,1,1,1,0,0,0,3,2,3,0",7.639333,7.639333,"7.639333",1.000000,"1.000000",0.715391,"0.715391",-0.005000,"-0.005000",0.950000,"0.950000",0.752579,"0.752579",1.000000,"1.000000",0.280707,"0.280707",0.295481,"0.295481",1.000000,"1.000000",38899
39000,0,3900026,1,11588,11816,0,3530912,0,18282,15,15,"1,1,0,0,0,1,0,1,1,0,0,1,2,2,1,3,1,1,2,3,1,0,1,1,1,1,2,1,1,1,0,0,3,1,1,2,0","2,2,2,1,2,2,1,2,3,1,2,0,4,0,0,1,3,2,2,1,0,0,2,0,0,1,1,0,1,1,0,2,0,2,2,1,0",7.595904,7.595904,"7.595904",1.000000,"1.000000",0.714959,"0.714959",-0.050000,"-0.050000",0.950000,"0.950000",0.751698,"0.751698",1.000000,"1.000000",0.282567,"0.282567",0.297439,"0.297439",1.000000,"1.000000",38999
39100,0,3910022,1,11628,11846,0,3540427,0,20404,16,16,"2,1,3,0,0,0,0,2,1,1,1,1,2,2,2,2,1,3,3,1,2,0,1,1,1,1,1,1,1,0,0,0,3,1,1,3,0","1,1,1,1,3,2,4,2,1,1,2,0,1,0,2,2,2,1,2,2,0,0,1,0,0,1,1,0,2,2,0,1,0,2,2,1,0",6.820655,6.820655,"6.820655",1.000000,"1.000000",0.701214,"0.701214",-0.125000,"-0.125000",0.750000,"0.750000",0.751835,"0.751835",1.000000,"1.000000",0.214365,"0.214365",0.285820,"0.285820",1.000000,"1.000000",39099
39200,0,3920023,1,11656,11879,0,3550244,0,18666,14,14,"1,1,0,0,0,0,0,0,1,2,0,1,1,4,1,2,1,2,2,1,1,0,1,1,1,1,3,2,1,1,1,0,2,0,0,1,0","1,1,2,1,2,2,1,2,1,1,2,0,1,0,0,1,3,0,3,1,0,0,0,0,1,3,2,0,0,2,0,2,1,1,1,1,2",7.583103,7.583103,"7.583103",1.000000,"1.000000",0.716296,"0.716296",-0.001250,"-0.001250",0.950000,"0.950000",0.751472,"0.751472",1.000000,"1.000000",0.251344,"0.251344",0.264572,"0.264572",1.000000,"1.000000",39199
39300,0,3930011,1,11679,11909,0,3559926,0,17320,14,14,"1,1,0,0,0,0,0,0,2,3,0,2,1,2,2,1,2,2,1,1,1,0,1,2,1,1,3,3,1,2,1,0,1,0,0,1,0","1,2,1,1,2,3,1,1,1,1,2,0,2,0,0,1,2,0,4,0,0,0,0,0,2,2,1,1,0,1,0,3,1,1,2,2,1",7.464905,7.464905,"7.464905",1.000000,"1.000000",0.691491,"0.691491",-0.037500,"-0.037500",0.900000,"0.900000",0.752099,"0.752099",1.000000,"1.000000",0.290963,"0.290963",0.323292,"0.323292",1.000000,"1.000000",39299
39400,0,3940064,1,11721,11949,0,3568609,0,17467,17,17,"0,1,1,0,0,0,0,0,0,7,0,3,1,2,2,1,2,3,1,1,2,0,1,3,3,1,3,1,1,5,3,0,0,0,1,0,0","1,1,2,1,1,4,2,1,1,2,2,0,1,0,3,0,0,0,5,0,0,0,0,2,0,1,3,1,3,1,2,1,2,1,1,3,0",7.335436,7.335436,"7.335436",1.000000,"1.000000",0.707389,"0.707389",-0.037500,"-0.037500",0.900000,"0.900000",0.751586,"0.751586",1.000000,"1.000000",0.218766,"0.218766",0.243074,"0.243074",1.000000,"1.000000",39399
39500,0,3950005,1,11750,11975,0,3578077,0,18603,15,15,"0,2,0,0,0,0,0,1,0,4,0,2,1,1,1,1,2,1,1,3,1,0,1,2,2,2,3,3,2,3,0,0,1,0,2,0,0","2,1,1,1,1,4,1,1,1,1,3,0,1,1,1,0,0,2,4,0,1,0,0,1,0,1,0,1,2,1,1,1,5,1,2,0,1",7.457318,7.457318,"7.457318",1.000000,"1.000000",0.704465,"0.704465",-0.002500,"-0.002500",0.950000,"0.950000",0.751510,"0.751510",1.000000,"1.000000",0.194953,"0.194953",0.205214,"0.205214",1.000000,"1.000000",39499
39600,0,3960046,1,11773,12008,0,3586417,0,14485,16,16,"0,2,1,0,0,0,0,2,0,2,0,1,1,1,1,2,2,1,1,3,2,0,1,3,2,1,2,5,1,3,0,0,1,0,1,0,0","1,1,1,1,2,3,1,1,2,1,3,2,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,3,1,1,2,5,0,4,1,1",7.369350,7.369350,"7.369350",1.000000,"1.000000",0.680139,"0.680139",-0.007500,"-0.007500",0.900000,"0.900000",0.752403,"0.752403",1.000000,"1.000000",0.233573,"0.233573",0.259526,"0.259526",1.000000,"1.000000",39599
39700,0,3970059,1,11805,12035,0,3593631,0,15386,18,18,"2,5,0,0,0,0,0,1,1,0,0,1,1,2,1,1,1,2,3,2,1,0,1,2,1,1,3,3,1,4,0,1,2,0,0,0,1","1,1,2,1,2,2,3,3,1,2,2,2,1,0,4,0,0,0,1,0,3,0,0,0,1,0,0,1,7,1,1,1,0,0,2,2,3",7.206533,7.206533,"7.206533",1.000000,"1.000000",0.704423,"0.704423",-0.018750,"-0.018750",0.850000,"0.850000",0.752302,"0.752302",1.000000,"1.000000",0.214551,"0.214551",0.252413,"0.252413",1.000000,"1.000000",39699
